ID DISTRIBUIDORA;PERIODO;CONJUNTO;COD CONJUNTO;NUMERO UCS;DECTOT;FECTOT;DECXP;FECXP;DECXN;FECXN;DECIP;FECIP;DECIND;FECIND;DECINE;FECINE;DECINC;FECINC;DECINO;FECINO;DECIPC;FECIPC;DECXPC;FECXPC;DECXNC;FECXNC
6072;Janeiro/2023;CACHOEIRA DOURADA;14880;5.024;7,16;2,05;0,00;0,00;0,00;0,00;0,02;0,01;2,14;0,78;3,78;1,14;1,22;0,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;CAIAPONIA;14881;12.053;10,52;5,17;0,00;0,00;0,00;0,00;0,00;0,00;6,05;3,26;1,96;0,58;2,51;1,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;CALDAS NOVAS S2;14883;19.757;2,38;2,51;0,00;0,00;0,00;0,00;0,02;0,00;1,64;2,26;0,72;0,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;CAMPINAS S2;14885;35.734;0,88;0,58;0,00;0,00;0,00;0,00;0,03;0,01;0,67;0,31;0,18;0,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;CAMPINORTE;14886;5.624;4,00;0,60;0,00;0,00;0,00;0,00;0,00;0,00;2,40;0,42;1,44;0,15;0,16;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;CAMPO ALEGRE DE GOIAS;14887;3.667;5,95;1,86;0,00;0,00;0,00;0,00;0,03;0,01;3,46;1,29;2,24;0,49;0,22;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;CATALAO S1;14889;21.132;5,91;2,15;0,00;0,00;0,00;0,00;0,16;0,04;4,29;1,68;1,46;0,43;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;CATALAO S2;14890;47.445;1,25;1,03;0,00;0,00;0,00;0,00;0,02;0,01;0,95;0,96;0,22;0,05;0,06;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;CEZARINA;14892;4.005;4,67;2,04;0,00;0,00;0,00;0,00;0,24;0,12;2,37;0,47;2,06;1,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
6072;Janeiro/2023;CHAPADAO DO CEU;14893;5.300;3,12;0,72;0,00;0,00;0,00;0,00;0,00;0,00;2,17;0,40;0,51;0,08;0,44;0,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
